,Unnamed: 0,no,xmin,ymax,xmax,ymin,length,height,center_x,center_y,frame,second,frame_sec,second_acc,confidenceI
197,783,784,391,267.602,455.062,172,64,96,423.258,219.7205,425,17,0,17.0,0.928597
198,784,785,255,277.665,327.787,186,72,91,291.616,231.9725,425,17,0,17.0,0.710082
199,785,786,389,266.534,453.326,171,64,95,421.0975,218.8855,426,17,1,17.04,0.904501
200,786,787,387,264.218,456.022,166,69,98,421.6705,215.228,427,17,2,17.08,0.911716
201,787,788,262,273.639,332.419,181,71,93,296.9685,227.0785,427,17,2,17.08,0.800595
202,788,789,385,261.29,457.422,165,72,96,421.3095,213.371,428,17,3,17.12,0.931108
203,789,790,265,270.684,338.295,180,74,91,301.502,225.1325,428,17,3,17.12,0.73194
204,790,791,384,258.519,455.995,163,72,95,420.2395,210.874,429,17,4,17.16,0.944992
205,791,792,4,436.624,102.147,320,98,117,53.296545,378.2985,429,17,4,17.16,0.925683
206,792,793,268,264.949,343.166,169,75,96,305.434,216.89,429,17,4,17.16,0.803184
207,793,794,384,254.728,454.291,161,70,94,419.1055,207.8775,430,17,5,17.2,0.924021
208,794,795,9,427.474,104.426,311,96,117,56.64446,369.1655,430,17,5,17.2,0.910646
209,795,796,271,261.975,346.852,169,76,93,308.71,215.4445,430,17,5,17.2,0.808839
210,796,797,381,251.304,453.099,158,72,93,417.077,204.7195,431,17,6,17.24,0.934381
211,797,798,273,262.148,350.228,170,77,92,311.736,215.9525,431,17,6,17.24,0.801193
212,798,799,0,418.98,100.455,313,100,106,50.2275,366.0325,431,17,6,17.24,0.717593
213,799,800,14,418.127,108.555,311,95,107,61.0579,364.6645,432,17,7,17.28,0.808505
214,800,801,271,264.223,356.325,172,85,92,313.595,218.1975,432,17,7,17.28,0.738847
215,801,802,275,261.192,354.879,173,80,88,314.937,217.04,433,17,8,17.32,0.857893
216,802,803,278,261.984,356.885,171,79,91,317.3525,216.5935,434,17,9,17.36,0.887384
217,803,804,49,391.699,126.954,299,78,93,87.7703,345.39,434,17,9,17.36,0.737324
218,804,805,57,386.289,132.037,286,75,100,94.539,336.3255,435,17,10,17.4,0.883821
219,805,806,281,264.512,358.32,169,77,95,319.8125,216.9685,435,17,10,17.4,0.859489
220,806,807,283,263.219,360.608,168,78,95,321.6755,215.506,436,17,11,17.44,0.874785
221,807,808,61,377.756,138.04,280,77,97,99.3358,329.0855,436,17,11,17.44,0.840504
222,808,809,285,260.459,360.978,166,76,94,322.7515,213.3905,437,17,12,17.48,0.869904
223,809,810,288,260.424,361.742,165,74,96,324.694,212.659,438,17,13,17.52,0.885413
224,810,811,73,366.065,153.94,262,81,104,113.4341,314.191,438,17,13,17.52,0.766164
225,811,812,289,261.128,361.062,166,72,95,325.014,213.444,439,17,14,17.56,0.877764
226,812,813,80,364.321,160.799,261,81,104,120.26575,312.555,439,17,14,17.56,0.82138
227,813,814,85,360.063,164.313,260,79,100,124.78815,309.9555,440,17,15,17.6,0.868728
228,814,815,290,262.657,362.915,166,72,97,326.694,214.1425,440,17,15,17.6,0.851729
229,815,816,294,262.702,364.551,166,71,97,329.2125,214.3,441,17,16,17.64,0.874922
230,816,817,89,359.886,170.633,253,82,107,129.731,306.3385,441,17,16,17.64,0.794175
231,817,818,295,263.062,365.976,167,71,96,330.3955,215.1765,442,17,17,17.68,0.906247
